States,Region
Connecticut,Northeast
Maine,Northeast
Massachusetts,Northeast
New Hampshire,Northeast
New Jersey,Northeast
New York,Northeast
Pennsylvania,Northeast
Rhode Island,Northeast
Vermont,Northeast
Alabama,Southeast
Delaware,Southeast
District of Columbia,Southeast
Georgia,Southeast
Florida,Southeast
Kentucky,Southeast
Maryland,Southeast
Mississippi,Southeast
North Carolina,Southeast
South Carolina,Southeast
Tennessee,Southeast
Virginia,Southeast
West Virginia,Southeast
Illinois,Midwest
Indiana,Midwest
Iowa,Midwest
Kansas,Midwest
Michigan,Midwest
Minnesota,Midwest
Missouri,Midwest
Nebraska,Midwest
North Dakota,Midwest
Ohio,Midwest
South Dakota,Midwest
Wisconsin,Midwest
Arizona,Southwest
Arkansas,Southwest
Louisiana,Southwest
New Mexico,Southwest
Oklahoma,Southwest
Texas,Southwest
Alaska,West
California,West
Colorado,West
Hawaii,West
Idaho,West
Montana,West
Oregon,West
Utah,West
Washington,West
Wyoming,West